Date: Day.Month.Year;Power Generation [kWh];Tavg;Tmin;Tmax;Hum;VPD;Prec;Pbin;Wspd;Wmax;Wdir;Cld;Sol;Sun;Pres;Vis;Soil
12.07.23;20,20000;18,21667;15,30000;22,00000;85,87500;0,32010;9,10000;1,00000;4,07083;7,50000;254,80450;7,54167;1354,00000;3,10000;1007,24583;41555,83333;21,50000
13.07.23;23,40000;16,84167;13,50000;21,30000;81,83333;0,39256;7,10000;1,00000;3,91250;6,40000;236,72076;4,08333;1987,00000;7,50000;1012,65833;41465,00000;19,80000
14.07.23;26,00000;19,13333;11,80000;23,10000;70,20833;0,76198;0,00000;1,00000;2,75000;4,40000;184,78060;4,54167;1889,00000;7,70000;1013,15000;43061,66667;20,30000
15.07.23;30,80000;23,87500;18,00000;29,60000;57,20833;1,34210;0,00000;1,00000;5,84167;10,30000;177,24132;6,08333;2178,00000;9,10000;1004,76667;57704,58333;22,60000
16.07.23;25,30000;20,07917;16,60000;23,20000;66,66667;0,83100;0,30000;1,00000;5,92083;11,00000;226,25594;6,54167;2110,00000;8,20000;1009,80417;51201,25000;22,90000
17.07.23;21,20000;17,00000;12,50000;21,00000;75,20833;0,52928;4,00000;1,00000;4,76667;8,40000;237,38259;6,04167;1819,00000;5,70000;1014,62083;44915,00000;20,80000
18.07.23;25,20000;16,40833;11,60000;21,50000;80,66667;0,42237;0,50000;1,00000;3,09167;5,10000;266,08934;6,33333;1913,00000;7,20000;1016,23333;40680,41667;19,60000
19.07.23;17,20000;15,93750;13,10000;19,10000;81,33333;0,36201;1,40000;1,00000;2,12917;4,70000;3,83348;7,70833;1262,00000;2,70000;1010,65000;48145,00000;19,10000
20.07.23;35,80000;15,99167;12,70000;19,20000;75,91667;0,47384;2,20000;1,00000;4,14167;7,50000;284,70402;5,04167;2282,00000;10,80000;1011,10833;50956,25000;19,80000
21.07.23;29,20000;16,10417;11,20000;21,50000;74,41667;0,55157;2,90000;1,00000;2,72500;6,30000;259,26674;6,54167;2059,00000;8,30000;1008,75833;49822,91667;21,20000
22.07.23;19,00000;15,10000;12,00000;20,00000;83,70833;0,31060;6,30000;1,00000;3,80000;6,30000;236,88906;6,50000;1661,00000;5,50000;1009,90000;28327,08333;18,70000
23.07.23;7,40000;16,31250;13,50000;18,50000;90,87500;0,17749;9,80000;1,00000;4,97500;6,60000;193,36021;7,75000;693,00000;0,40000;1004,51667;24307,50000;17,10000
24.07.23;19,10000;18,21250;14,60000;23,70000;83,41667;0,39491;8,40000;1,00000;4,19583;6,50000;241,63823;7,20833;1501,00000;3,20000;999,37083;43105,00000;19,60000
25.07.23;33,80000;15,30417;12,40000;18,70000;77,33333;0,42854;1,30000;1,00000;4,32917;7,50000;269,43783;3,41667;2023,00000;9,60000;1002,98750;38523,75000;18,10000
27.07.23;10,70000;15,14167;11,30000;17,60000;88,00000;0,21537;2,30000;1,00000;3,48333;6,10000;154,81712;7,41667;885,00000;0,70000;1003,86667;38438,33333;16,50000
28.07.23;16,40000;18,14167;15,40000;21,90000;85,70833;0,33256;1,90000;1,00000;1,57917;4,00000;332,41706;7,54167;1273,00000;1,60000;1003,12083;43005,00000;20,00000
29.07.23;25,80000;18,84167;15,50000;23,40000;86,83333;0,33939;4,40000;1,00000;3,05833;6,10000;229,99834;6,45833;1587,00000;4,30000;1004,14583;29188,75000;20,50000
30.07.23;19,00000;16,57917;13,90000;20,30000;86,08333;0,28907;8,50000;1,00000;3,77500;7,20000;224,80979;6,37500;1611,00000;6,10000;1006,62083;32303,33333;18,80000
31.07.23;8,30000;15,89167;14,50000;17,60000;94,37500;0,09970;41,60000;1,00000;3,77917;5,70000;217,01314;7,62500;551,00000;0,00000;1002,05833;23134,58333;17,20000
01.08.23;18,20000;16,55000;15,30000;18,30000;89,87500;0,19587;9,10000;1,00000;4,26250;6,40000;239,66336;7,12500;1211,00000;3,30000;994,48333;38551,66667;18,40000
02.08.23;11,80000;16,70000;14,70000;18,90000;89,12500;0,21834;7,60000;1,00000;4,55417;6,00000;191,85959;7,62500;949,00000;1,50000;992,67083;35185,41667;18,00000
03.08.23;21,10000;17,49167;15,50000;20,90000;88,25000;0,24799;11,10000;1,00000;4,36250;5,90000;243,01743;6,58333;1175,00000;3,70000;993,24167;40010,00000;18,70000
04.08.23;25,20000;16,85417;12,30000;20,30000;81,25000;0,38413;3,20000;1,00000;3,65833;5,80000;266,24319;5,45833;1605,00000;5,20000;1009,00833;39181,25000;19,00000
05.08.23;33,70000;17,42083;11,90000;21,40000;69,75000;0,67177;0,00000;0,00000;2,68333;5,20000;174,24423;6,66667;2131,00000;8,30000;1010,86250;47525,00000;19,50000
06.08.23;11,00000;15,91667;14,50000;18,40000;88,62500;0,21040;2,50000;1,00000;2,38750;4,10000;9,40655;7,91667;699,00000;0,00000;1003,89167;37917,08333;17,60000
07.08.23;20,60000;15,38333;12,70000;17,60000;75,12500;0,44777;1,40000;1,00000;7,32500;11,40000;280,50223;7,33333;1421,00000;3,60000;1004,63750;39167,91667;16,50000
08.08.23;18,70000;13,87500;12,20000;17,30000;81,54167;0,30280;8,10000;1,00000;6,66250;9,00000;254,51433;5,58333;1404,00000;5,30000;1005,63333;43140,41667;15,20000
09.08.23;27,60000;14,34167;10,90000;18,40000;77,00000;0,40415;1,30000;1,00000;4,93750;8,00000;266,49979;4,75000;1891,00000;8,60000;1011,68333;45055,41667;15,70000
10.08.23;36,40000;14,86667;9,50000;19,70000;73,25000;0,53136;0,00000;0,00000;3,01667;5,30000;276,94727;3,29167;1995,00000;8,90000;1018,59583;46375,41667;16,60000
11.08.23;27,00000;19,32083;10,80000;26,20000;74,75000;0,67235;0,00000;0,00000;2,24167;4,00000;166,66002;6,50000;1560,00000;5,50000;1018,10833;51647,50000;19,10000
12.08.23;6,00000;18,96667;14,20000;21,10000;89,29167;0,24194;5,70000;1,00000;2,19583;7,70000;204,82818;6,33333;618,00000;0,20000;1013,46250;30921,25000;19,40000
13.08.23;23,70000;18,54583;13,80000;23,60000;79,58333;0,51178;0,00000;0,00000;2,87500;5,50000;215,68842;4,91667;1792,00000;7,80000;1014,57083;42157,50000;19,30000
14.08.23;27,90000;20,61667;13,50000;27,10000;73,91667;0,75929;0,00000;0,00000;1,85833;3,80000;143,24438;5,29167;1959,00000;11,00000;1013,14583;44201,66667;21,50000
15.08.23;24,30000;21,10417;16,40000;24,60000;80,50000;0,51904;1,40000;1,00000;3,13333;6,20000;248,08798;6,33333;1555,00000;6,20000;1013,28333;39269,58333;22,20000
16.08.23;26,50000;18,25417;13,10000;22,70000;76,79167;0,54941;0,00000;0,00000;2,17500;3,80000;318,89732;5,29167;1966,00000;8,70000;1019,73333;41217,50000;21,80000
17.08.23;4,50000;16,47500;15,60000;17,30000;88,33333;0,21991;23,30000;1,00000;3,38750;4,70000;42,35002;7,75000;406,00000;0,00000;1019,84167;42740,41667;17,50000
18.08.23;26,20000;19,97083;16,20000;24,90000;86,16667;0,35755;0,00000;0,00000;3,30417;4,80000;62,04895;5,50000;1764,00000;7,40000;1016,74583;31704,58333;21,10000
19.08.23;14,70000;22,99167;18,60000;28,30000;81,58333;0,59988;0,30000;1,00000;3,64583;6,10000;113,11314;6,12500;1289,00000;6,70000;1014,97500;30455,83333;22,20000
20.08.23;37,80000;19,68333;13,90000;25,20000;81,70833;0,51296;0,00000;0,00000;2,47917;4,50000;274,84026;2,91667;1921,00000;9,30000;1020,05833;32623,75000;21,60000
21.08.23;39,10000;18,65833;13,70000;23,90000;77,12500;0,59981;0,00000;0,00000;2,21667;4,60000;317,75371;1,62500;2237,00000;12,80000;1021,03750;39322,50000;21,00000
22.08.23;33,90000;19,66250;15,20000;25,00000;70,25000;0,77043;0,00000;0,00000;2,22500;4,10000;248,93355;4,37500;1988,00000;11,20000;1017,77083;54922,91667;22,00000
23.08.23;26,90000;18,92500;13,30000;24,10000;79,29167;0,53330;0,00000;1,00000;2,33333;4,50000;272,10341;4,47826;1893,50000;10,35000;1017,38333;37771,25000;22,80000
24.08.23;30,20000;20,36250;14,40000;24,50000;74,58333;0,68463;0,10000;1,00000;1,90000;3,70000;63,63116;5,91667;1799,00000;9,50000;1013,31250;41996,25000;24,30000
25.08.23;7,80000;20,44583;18,20000;22,10000;86,75000;0,32504;0,40000;1,00000;2,97500;3,70000;208,42355;6,83333;593,00000;0,20000;1005,73333;22433,75000;21,20000
26.08.23;24,10000;17,86250;14,30000;20,50000;80,95833;0,41208;0,00000;1,00000;3,47500;6,40000;247,14471;5,29167;1491,00000;6,40000;1007,17917;34684,16667;21,40000
27.08.23;18,30000;15,23333;11,60000;19,80000;85,20833;0,29234;5,40000;1,00000;2,67917;5,20000;181,83100;5,66667;1207,00000;4,50000;1006,71667;45323,33333;18,20000
28.08.23;28,30000;15,48333;11,20000;20,50000;80,66667;0,39876;0,00000;1,00000;3,76250;5,40000;274,63316;5,12500;1603,00000;8,30000;1008,52917;42455,41667;17,90000
29.08.23;23,70000;14,14167;8,10000;19,80000;83,70833;0,33699;0,00000;0,00000;1,56667;3,00000;321,42659;7,45833;1484,00000;6,70000;1008,86667;34236,66667;17,40000
30.08.23;18,80000;15,46667;11,30000;20,00000;81,04167;0,38202;1,60000;1,00000;2,63750;4,60000;210,36276;7,16667;1232,00000;3,60000;1004,22500;33216,25000;17,80000
31.08.23;21,60000;13,94167;10,60000;17,40000;81,75000;0,31161;0,30000;1,00000;4,18333;6,40000;240,67122;5,12500;1579,00000;8,20000;1005,65417;47607,91667;17,00000
01.09.23;25,60000;15,06667;10,30000;19,70000;79,41667;0,41432;0,00000;1,00000;2,74167;4,70000;253,08113;3,54167;1735,00000;10,50000;1011,60833;48493,75000;18,40000
02.09.23;32,70000;15,09167;8,10000;21,90000;79,50000;0,45912;0,00000;1,00000;1,79583;5,40000;295,17566;2,20833;1815,00000;11,10000;1018,96667;39568,33333;19,30000
03.09.23;21,50000;15,92500;11,00000;20,20000;83,20833;0,36212;0,00000;0,00000;2,43750;5,10000;291,33460;6,54167;1431,00000;7,70000;1025,27917;36887,50000;19,70000
04.09.23;37,20000;17,32500;10,30000;24,00000;76,50000;0,61104;0,00000;0,00000;1,49167;3,50000;166,71723;1,04167;1987,00000;12,40000;1025,76667;38884,58333;21,40000
05.09.23;35,70000;20,48333;12,70000;29,40000;74,12500;0,82620;0,00000;0,00000;1,59583;2,70000;125,24923;4,16667;1953,00000;12,50000;1020,43333;45593,33333;23,50000
06.09.23;34,80000;22,34167;14,60000;29,40000;71,41667;0,99142;0,00000;0,00000;2,41250;4,20000;90,61475;0,25000;1926,00000;12,20000;1020,61667;45125,83333;24,80000
07.09.23;34,30000;21,60000;15,80000;28,00000;71,45833;0,91266;0,00000;0,00000;3,20417;6,10000;84,02086;4,50000;1915,00000;12,20000;1021,46667;39964,16667;24,10000
08.09.23;35,00000;21,77917;15,00000;28,90000;63,70833;1,10889;0,00000;0,00000;3,30833;5,70000;112,08794;1,04167;1902,00000;12,10000;1017,55417;43585,83333;23,70000
09.09.23;32,40000;21,57500;14,70000;29,80000;71,83333;0,92686;0,00000;0,00000;1,75833;2,80000;170,66682;2,00000;1849,00000;12,10000;1015,00417;36735,41667;24,50000
10.09.23;29,50000;18,77083;15,20000;24,60000;87,54167;0,33755;0,00000;0,00000;1,98750;3,60000;327,30449;4,20833;1420,00000;7,10000;1015,93333;9500,00000;23,30000
11.09.23;30,10000;21,27917;14,40000;29,20000;76,83333;0,75639;0,00000;0,00000;1,95417;2,70000;140,22294;4,20833;1669,00000;11,20000;1011,49167;22505,41667;24,10000
12.09.23;13,40000;19,31250;15,90000;21,70000;91,75000;0,20033;0,90000;1,00000;1,97083;4,20000;249,65888;7,29167;701,00000;2,10000;1010,95000;9001,66667;21,50000
13.09.23;12,60000;14,40000;8,10000;17,50000;90,20833;0,16672;14,90000;1,00000;2,86250;5,70000;335,10146;5,25000;577,00000;2,20000;1013,94167;30677,50000;17,10000
14.09.23;19,30000;12,20833;5,80000;19,10000;80,66667;0,34991;0,00000;1,00000;1,30000;2,40000;328,99688;4,91667;1436,00000;7,90000;1021,11667;42845,41667;15,20000
15.09.23;32,70000;15,26667;8,20000;21,30000;74,87500;0,53798;0,00000;1,00000;3,20833;5,70000;109,27290;1,87500;1710,00000;11,10000;1019,15833;44642,91667;15,80000
16.09.23;24,00000;18,50000;13,10000;24,90000;72,75000;0,69093;0,00000;0,00000;3,33333;5,50000;128,89979;3,25000;1599,00000;10,80000;1014,34583;46808,33333;18,00000
17.09.23;12,30000;18,96250;12,00000;24,30000;78,75000;0,55929;0,00000;1,00000;2,82083;5,70000;89,16833;7,37500;992,00000;3,80000;1012,60417;34019,58333;18,20000
18.09.23;11,90000;19,95417;16,90000;23,20000;76,08333;0,58296;1,80000;1,00000;5,21667;7,80000;165,84150;7,00000;832,00000;2,50000;1003,22917;51979,16667;18,80000
19.09.23;13,00000;16,89167;14,00000;18,80000;72,16667;0,55321;0,00000;1,00000;8,28750;11,20000;224,18378;6,87500;893,00000;3,20000;1004,00833;46795,41667;16,50000
20.09.23;12,90000;19,59167;16,30000;23,30000;68,70833;0,74185;0,10000;1,00000;6,68333;8,60000;204,47098;6,87500;1277,00000;6,40000;1004,32917;56060,00000;19,60000
21.09.23;16,50000;20,00000;15,40000;26,00000;70,16667;0,77629;0,20000;1,00000;5,27500;7,60000;164,40044;6,04167;1086,00000;6,40000;997,90417;58081,66667;19,90000
22.09.23;19,10000;15,79167;10,50000;19,00000;80,00000;0,38877;0,70000;1,00000;4,37500;7,00000;219,22966;6,16667;1066,00000;3,90000;999,35000;46478,33333;17,90000
